,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
MX Recall (All),0.5083333333333333,0.6458333333333334,0.5041666666666667,0.48333333333333334,0.475,0.55,0.5083333333333333,0.42083333333333334,0.65,0.5375,0.7583333333333333,0.5,0.5875,0.5666666666666667,0.6583333333333333,0.6458333333333334,0.6041666666666666,0.425,0.48333333333333334,0.2
MX Recall (Coincident),0.5296803652968036,0.6666666666666666,0.5114155251141552,0.4931506849315068,0.4748858447488584,0.5570776255707762,0.5159817351598174,0.4155251141552511,0.6575342465753424,0.5388127853881278,0.7808219178082192,0.5205479452054794,0.589041095890411,0.593607305936073,0.6894977168949772,0.6712328767123288,0.6255707762557078,0.4200913242009132,0.5205479452054794,0.182648401826484
MX Recall (Noncoincident),0.2857142857142857,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093
MX Recall Difference (Coincident - Noncoincident),0.24396607958251793,0.23809523809523808,0.08284409654272668,0.11219830397912589,-0.001304631441617743,0.08088714938030006,0.08741030658838883,-0.060665362035225046,0.08610567514677103,0.015003261578603988,0.25701239399869535,0.23483365949119372,0.017612524461839585,0.30789302022178733,0.35616438356164387,0.29028049575994785,0.24461839530332685,-0.056099151989562945,0.4253098499673842,-0.19830397912589692
""
True Skill Score (All),0.11925758432259281,0.07062559637404575,0.008010457362747081,-0.041027758930941904,-0.07729951242858424,-0.03211239945933819,-0.016814498305584236,-0.07610395259705138,0.12586500616812546,0.04322301464579059,0.09563526781374554,0.07688056792027742,0.06600176263219737,0.10079657591249547,0.086511710854833,0.06307205409001815,0.06367090844821488,-0.04450499011392528,0.11195788962635989,-0.1278151161419644
True Skill Score (Coincident),0.12068989982121059,0.07732199845933752,0.01064907868467213,-0.03218825343473253,-0.07299957210098418,-0.02726662282853365,-0.006340497184063376,-0.07751906648341278,0.12146436075642486,0.04005982194886171,0.10091324200913243,0.08035686573392331,0.06274231089224303,0.10837747255912622,0.09956816864403584,0.07254176710165405,0.072533705127511,-0.045152843437973544,0.12363701578192254,-0.1347385140347077
True Skill Score (Noncoincident),0.22716346153846156,0.029453015427769902,-0.014363885088919393,-0.16598915989159901,-0.1539007092198582,-0.09097127222982215,-0.19144460028050492,-0.06165311653116534,0.24489795918367352,0.10606060606060608,0.12152777777777779,0.1029411764705882,0.12857142857142856,0.05716878402903813,-0.0357142857142857,-0.0099290780141843,-0.024544179523141696,-0.04729729729729726,-0.025362318840579712,-0.080952380952381
TSS Difference (Coincident - Noncoincident),-0.10647356171725098,0.047868983031567613,0.025012963773591523,0.1338009064568665,0.08090113711887403,0.0637046494012885,0.18510410309644154,-0.015865949952247438,-0.12343359842724866,-0.06600078411174437,-0.02061453576864536,-0.022584310736664892,-0.06582911767918553,0.05120868853008809,0.13528245435832154,0.08247084511583835,0.0970778846506527,0.002144453859323714,0.14899933462250226,-0.053786133082326715
""
