,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
MX Recall (All),0.5083333333333333,0.6458333333333334,0.5041666666666667,0.49583333333333335,0.48333333333333334,0.5625,0.5166666666666667,0.42083333333333334,0.65,0.5375,0.75,0.5,0.5875,0.5583333333333333,0.6583333333333333,0.6416666666666667,0.6,0.43333333333333335,0.4791666666666667,0.21666666666666667
MX Recall (Coincident),0.5296803652968036,0.6666666666666666,0.5114155251141552,0.5068493150684932,0.4840182648401826,0.5707762557077626,0.5251141552511416,0.4155251141552511,0.6575342465753424,0.5388127853881278,0.771689497716895,0.5205479452054794,0.589041095890411,0.5844748858447488,0.6894977168949772,0.6666666666666666,0.6210045662100456,0.4292237442922374,0.5159817351598174,0.2009132420091324
MX Recall (Noncoincident),0.2857142857142857,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093
MX Recall Difference (Coincident - Noncoincident),0.24396607958251793,0.23809523809523808,0.08284409654272668,0.12589693411611225,0.007827788649706457,0.09458577951728642,0.09654272667971303,-0.060665362035225046,0.08610567514677103,0.015003261578603988,0.24787997390737115,0.23483365949119372,0.017612524461839585,0.2987606001304631,0.35616438356164387,0.2857142857142857,0.2400521852576647,-0.046966731898238745,0.42074363992172215,-0.18003913894324852
""
True Skill Score (All),0.12012372611765298,0.07199635325733966,0.006600049346163428,-0.03715672824467209,-0.07712369597615498,-0.025965926376635196,-0.016334677824168975,-0.07895804664620165,0.12657290895632856,0.04180382797620441,0.10141113048993178,0.07688056792027742,0.06530016275831274,0.09535906146075646,0.08855385200052246,0.06164260576025282,0.06371368867174854,-0.04394648357591291,0.11088502947962064,-0.12088174387624107
True Skill Score (Coincident),0.12157330578130943,0.07874378211998789,0.00917431192660556,-0.027864406779660955,-0.07182555913398259,-0.01976844869001737,-0.005645706558485508,-0.08050253423918907,0.12219644498617799,0.03857876568156937,0.10508441828666548,0.08035686573392331,0.06200986336809766,0.10253671471538683,0.10166995451805572,0.07091029137758786,0.07173766058147402,-0.04365674534295472,0.12244362024742705,-0.12676634899769956
True Skill Score (Noncoincident),0.22716346153846156,0.029453015427769902,-0.014363885088919393,-0.16598915989159901,-0.17097701149425282,-0.10606060606060608,-0.19144460028050492,-0.06165311653116534,0.24489795918367352,0.10606060606060608,0.1539007092198582,0.1029411764705882,0.12857142857142856,0.05716878402903813,-0.0357142857142857,-0.0099290780141843,-0.0099290780141843,-0.06165311653116534,-0.025362318840579712,-0.080952380952381
TSS Difference (Coincident - Noncoincident),-0.10559015575715214,0.04929076669221799,0.023538197015524953,0.13812475311193806,0.09915145236027023,0.0862921573705887,0.1857988937220194,-0.01884941770802373,-0.12270151419749553,-0.0674818403790367,-0.04881629093319273,-0.022584310736664892,-0.0665615652033309,0.0453679306863487,0.13738424023234141,0.08083936939177216,0.08166673859565832,0.017996371188210625,0.14780593908800677,-0.045813968045318565
""
